LATITUDE,LONGITUDE,day_of_week,hour,cluster
-3.81290170476358,-38.52145677119986,0,11,4
-3.748810426120924,-38.49811619497781,4,20,5
-3.7882113717851342,-38.48319064721871,3,8,5
-3.7882113717851342,-38.48319064721871,3,11,5
-3.7882113717851342,-38.48319064721871,1,10,5
-3.7882113717851342,-38.48319064721871,0,9,5
-3.745499807358784,-38.59609159165714,2,7,0
-3.858996003959268,-38.49978767575311,3,9,4
-3.858996003959268,-38.49978767575311,3,8,4
-3.769853511921472,-38.57560975176232,2,15,2
-3.769853511921472,-38.57560975176232,2,13,2
-3.724770539958509,-38.516476973653816,2,16,5
-3.7453084034539175,-38.51724651884927,0,11,5
-3.873716740549564,-38.62854584947172,6,10,3
-3.789642671236307,-38.621551540288166,3,11,1
-3.789642671236307,-38.621551540288166,4,9,1
-3.829439198341334,-38.463324024871,1,16,4
-3.801353662892583,-38.47333291511029,6,6,4
-3.783903382381321,-38.50559981155856,2,15,5
-3.879686012102665,-38.60288029277993,0,10,3
-3.817080400702081,-38.49391826041636,0,16,4
-3.786870345285605,-38.51003720955522,6,13,5
-3.725094275350573,-38.47104296708956,6,16,5
-3.812142140950296,-38.57856052652188,4,14,2
-3.8066311094727663,-38.58202375561751,3,16,2
-3.7626577185163024,-38.65389515595409,1,7,1
-3.7626577185163024,-38.65389515595409,4,15,1
-3.7626577185163024,-38.65389515595409,0,11,1
-3.7626577185163024,-38.65389515595409,3,7,1
-3.7626577185163024,-38.65389515595409,2,16,1
-3.7626577185163024,-38.65389515595409,0,11,1
-3.7626577185163024,-38.65389515595409,3,11,1
-3.7626577185163024,-38.65389515595409,0,10,1
-3.749122960318664,-38.60675970322952,0,10,1
-3.7697249444219456,-38.6561450008776,1,10,1
-3.7697249444219456,-38.6561450008776,3,16,1
-3.7697249444219456,-38.6561450008776,3,16,1
-3.7697249444219456,-38.6561450008776,4,8,1
-3.7697249444219456,-38.6561450008776,0,12,1
-3.7697249444219456,-38.6561450008776,0,23,1
-3.7697249444219456,-38.6561450008776,0,17,1
-3.7697249444219456,-38.6561450008776,2,16,1
-3.7697249444219456,-38.6561450008776,1,6,1
-3.7697249444219456,-38.6561450008776,2,7,1
-3.716986634793504,-38.56874865756201,6,9,0
-3.716986634793504,-38.56874865756201,0,9,0
-3.711199593924403,-38.55260966724699,3,8,0
-3.749379416407857,-38.51676375718469,3,8,5
-3.737605627620293,-38.56809751399901,0,8,0
-3.7219544202247983,-38.56235852303836,5,13,0
-3.782692312912211,-38.60030772378618,2,10,1
-3.756613180480714,-38.50727207670862,0,13,5
-3.756613180480714,-38.50727207670862,2,11,5
-3.729194461800359,-38.59081461025783,6,9,0
-3.729194461800359,-38.59081461025783,2,14,0
-3.89353430395457,-38.61530909994442,4,10,3
-3.7165370025537343,-38.58552650170694,3,16,0
-3.743376632087669,-38.58666090801008,2,20,0
-3.79809360019212,-38.48940292410234,5,13,4
-3.7370096208122354,-38.57423515196537,0,7,0
-3.8482239405249263,-38.52693533530351,1,8,4
-3.7774108504875294,-38.5692200830248,4,13,2
-3.7774108504875294,-38.5692200830248,6,8,2
-3.7898163985429534,-38.46778577260437,0,10,5
-3.7673735010033966,-38.65276352721533,0,10,1
-3.7673735010033966,-38.65276352721533,1,11,1
-3.7850080099034606,-38.49697444891517,0,12,5
-3.7850080099034606,-38.49697444891517,0,9,5
-3.829995613213261,-38.56870182914296,0,9,2
-3.721309792068434,-38.47367104723453,6,17,5
-3.7359589118780607,-38.48344708240234,5,11,5
-3.7359589118780607,-38.48344708240234,1,14,5
-3.7341691323963393,-38.48331282772855,4,12,5
-3.7329791570085287,-38.48197064704004,0,8,5
-3.755481024538882,-38.61250916131748,2,13,1
-3.868383979379781,-38.62187695073587,4,13,3
-3.792118113251882,-38.58007691705541,1,9,2
-3.752850432318125,-38.59162695781362,1,17,0
-3.782692312912211,-38.60030772378618,5,12,1
-3.789577150047808,-38.46637995607958,0,10,5
-3.8145787679676353,-38.55966692080267,0,8,2
-3.78619789124189,-38.57991308461543,3,10,2
-3.8421019000148737,-38.48241828225449,1,10,4
-3.8421019000148737,-38.48241828225449,0,10,4
-3.739611155022392,-38.58391428172819,0,8,0
-3.739611155022392,-38.58391428172819,3,16,0
-3.739611155022392,-38.58391428172819,4,9,0
-3.739611155022392,-38.58391428172819,3,18,0
-3.706531267647296,-38.582999954979485,5,9,0
-3.769877195127523,-38.472401397243225,4,13,5
-3.837317880582357,-38.524104462846026,3,8,4
-3.810382384643349,-38.58365295049403,3,15,2
-3.7448779156004575,-38.49150669198852,0,14,5
-3.744682370926996,-38.58767474682482,4,9,0
-3.744682370926996,-38.58767474682482,3,19,0
-3.7291607060892056,-38.53036007266681,3,14,5
-3.885907644996693,-38.6179156127137,3,18,3
-3.867460484092202,-38.62348509166059,0,13,3
-3.834470657789499,-38.55022688474084,5,8,2
-3.71183020305228,-38.57386859075283,0,15,0
-3.71183020305228,-38.57386859075283,1,10,0
-3.71183020305228,-38.57386859075283,2,8,0
-3.71183020305228,-38.57386859075283,3,10,0
-3.8527618655378864,-38.52314001973702,1,8,4
-3.746040531149118,-38.664308214548605,1,13,1
-3.746040531149118,-38.664308214548605,4,15,1
-3.8646457969424968,-38.620861704663376,1,15,3
-3.69032332687198,-38.62118195287005,5,10,0
-3.774306270869753,-38.52893845007696,3,16,5
-3.7454639801766834,-38.59609665753396,2,7,0
-3.758254716893437,-38.50745357629892,4,19,5
-3.864840892157543,-38.624986043157854,3,8,3
-3.671395145993308,-38.67086882162157,2,15,1
-3.766894596987644,-38.54485290030773,2,10,5
-3.728162662601801,-38.65464212475429,2,15,1
-3.752014669625673,-38.47422991460309,2,17,5
-3.816108784845601,-38.47405759605357,0,11,4
-3.79854506694765,-38.4945835144317,4,12,4
-3.880203071585128,-38.614814035609086,2,15,3
-3.880203071585128,-38.614814035609086,2,12,3
-3.880203071585128,-38.614814035609086,3,16,3
-3.748737282312933,-38.565745772586695,1,11,0
-3.813547248447465,-38.54014807017663,1,8,2
-3.815229845389063,-38.57174891017679,4,8,2
-3.887510790245208,-38.61854787018612,4,15,3
-3.89313363070982,-38.60562129535681,1,12,3
-3.716704442006088,-38.548105473105565,2,7,0
-3.716704442006088,-38.548105473105565,2,16,0
-3.716704442006088,-38.548105473105565,2,14,0
-3.8350680931752703,-38.50718607468779,1,11,4
-3.788964370284667,-38.44481488679137,2,13,5
-3.815428544094535,-38.494140164211615,0,16,4
-3.871057658545996,-38.62306748078924,4,13,3
-3.787478468744542,-38.494940527432895,1,11,5
-3.763880796319799,-38.60232899846943,3,8,1
