cluster,day_of_week,hour,qtd_pedidos
5,4,10,4.2105263157894735
5,4,11,3.1315789473684212
5,4,12,2.8055555555555554
5,4,13,3.342857142857143
5,4,14,2.9722222222222223
5,4,15,3.4722222222222223
5,4,16,3.2285714285714286
5,4,17,2.088235294117647
5,4,18,2.033333333333333
5,4,19,1.6428571428571428
5,4,20,1.2352941176470589
5,4,21,1.1666666666666667
5,4,22,1.1666666666666667
5,4,23,1.4285714285714286
5,5,0,1.1666666666666667
5,5,1,1.0
5,5,4,1.0
5,5,5,1.0
5,5,6,1.6470588235294117
5,5,7,2.5483870967741935
5,5,8,3.3783783783783785
5,5,9,3.4285714285714284
5,5,10,2.6
5,5,11,2.4411764705882355
5,5,12,1.9642857142857142
5,5,13,1.962962962962963
5,5,14,2.0
5,5,15,1.7857142857142858
5,5,16,1.40625
5,5,17,1.7407407407407407
5,5,18,1.4761904761904763
5,5,19,1.4
5,5,20,1.3076923076923077
5,5,21,1.3571428571428572
5,5,22,1.4166666666666667
5,5,23,1.0
5,6,0,1.0
5,6,1,1.0
5,6,2,1.5
5,6,3,1.0
5,6,4,1.0
5,6,5,1.6
5,6,6,1.25
5,6,7,1.7307692307692308
5,6,8,2.4242424242424243
5,6,9,2.6666666666666665
5,6,10,2.0714285714285716
5,6,11,1.72
5,6,12,1.3461538461538463
5,6,13,1.7222222222222223
5,6,14,1.2
5,6,15,1.2272727272727273
5,6,16,1.5294117647058822
5,6,17,1.5
5,6,18,1.5294117647058822
5,6,19,1.2666666666666666
5,6,20,1.1875
5,6,21,1.105263157894737
5,6,22,1.5
5,6,23,1.3333333333333333
